zipcode
98052
98105
98092
98115
98023
98103
98003
98042
98034
98133
98118
98125
98031
98058
98122
98032
98059
98033
98004
98006
98001
98117
98030
98056
98155
98198
98168
98002
98038
98109
98040
98029
98027
98074
98146
98144
98007
98072
98011
98188
98008
98107
98106
98178
98116
98075
98108
98112
98028
98119
98055
98053
98126
98199
98177
98022
98102
98166
98005
98121
98136
98045
98101
98104
98077
98057
98065
98019
98070
98148
98014
98354
98051
98010
98024
98047
98151
98134
98039
98158
98195
98288
98174
98054
98132
98171
98184
98224
98164
98181
98009
98013
98015
98025
98035
98041
98050
98062
98064
98063
98071
98073
98083
98089
98093
98111
98113
98114
98124
98127
98131
98129
98139
98138
98141
98145
98154
98160
98161
98165
98170
98175
98185
98190
98194
9819
